"Anno","benzina (TJ)","diesel (TJ)","carburanti per l’aviazione (TJ)","elettricità: traffico stradale privato¹ (TJ)","elettricità: altri trasporti (ferroviario, pubblico su strada², non stradale³) (TJ)","gas e altre fonti energetiche (TJ)"
2000,169330,55970,68070,0,10430,410
2001,164680,56980,64220,0,10640,430
2002,161390,59010,59410,0,11000,1280
2003,160610,62590,53450,0,11660,1240
2004,157740,67240,50450,0,11500,1360
2005,152960,73430,51110,0,11660,1420
2006,148260,79460,53580,0,12050,2170
2007,146830,85320,57180,0,11990,2210
2008,143620,93640,61160,0,12230,2440
2009,139730,95040,58680,0,11950,1910
2010,134720,98720,61630,10,12310,1970
2011,129510,101370,65710,20,11950,1990
2012,124970,107550,67330,30,12070,2010
2013,119280,112400,68080,50,12250,1590
2014,114470,115240,68560,70,11990,2370
2015,106070,113650,70800,110,12240,3460
2016,102750,114900,74170,160,12470,4500
2017,99600,114550,75950,210,12300,6560
2018,98020,116010,80270,270,12080,8600
2019,97210,116060,81090,370,11920,8980
2020,86100,109990,30630,460,11120,8370
2021,87970,111240,34000,820,11660,7330
2022,85410,111030,59880,1440,11900,7700
2023,88310,108700,71240,2170,11870,8020
2024,87330,105570,77720,3000,12080,9680
2025,87840,103160,80180,4090,12190,10730
